Grand Canyon - Michael Finke,"['39/93', '11/38', '3/10', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boise State - Pat Dembley,"['25/95', '6/22', '2/6', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boise State - Justinian Jessup,"['92/199', '31/84', '9/29', '0/9', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boise State - Marcus Dickinson,"['34/96', '7/25', '2/5', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Grand Canyon - Oscar Frayer,"['37/101', '11/33', '5/10', '1/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Grand Canyon - Alessandro Lever,"['50/136', '13/42', '3/12', '1/2', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boise State - Derrick Alston,"['52/133', '20/44', '3/19', '1/2', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Grand Canyon - Tim Finke,"['20/45', '1/14', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Grand Canyon - Damari Milstead,"['48/123', '14/41', '7/13', '1/6', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Grand Canyon - Matt Jackson,"['16/50', '5/9', '1/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boise State - Malek Harwell,"['7/21', '1/4', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boise State - RJ Williams,"['24/51', '4/18', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Grand Canyon - Carlos Johnson,"['41/105', '10/37', '4/9', '3/4', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Tyler Scanlon,"['59/152', '21/55', '5/19', '1/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Elon - Nathan Priddy,"['42/114', '9/37', '3/8', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Javante McCoy,"['50/140', '18/44', '8/16', '2/6', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Max Mahoney,"['26/58', '10/22', '4/9', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Elon - Steven Santa Ana,"['48/140', '14/44', '4/13', '2/4', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Garrett Pascoe,"['11/48', '2/10', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Jordan Guest,"['12/34', '1/10', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Elon - Chuck Hannah,"['21/47', '3/13', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Jack Hemphill,"['14/49', '1/6', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Elon - Sheldon Eberhardt,"['38/117', '13/35', '5/13', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Fletcher Tynen,"['4/23', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Jonas Harper,"['20/52', '9/17', '4/6', '4/4', '1/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Sukhmail Mathon,"['12/23', '4/7', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Elon - Kris Wooten,"['33/96', '11/30', '4/11', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Elon - Simon Wright,"['8/29', '2/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Elon - Tyler Seibring,"['77/165', '29/67', '11/26', '6/11', '1/6', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0']"
Boston University - Andrew Petcash,"['26/60', '9/19', '2/9', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Boston University - Alex Vilarino,"['23/52', '3/11', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Elon - Seth Fuller,"['3/18', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Elon - Andy Pack,"['14/40', '5/10', '2/5', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Bowling Green - Dylan Frye,"['70/190', '23/64', '7/22', '1/6', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Bowling Green - Justin Turner,"['77/194', '25/69', '13/22', '5/11', '2/4', '1/1', '1/1', '0/1', '0/0', '0/0', '0/0']"
Bowling Green - Demajeo Wiggins,"['12/50', '3/6', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Hartford - John Carroll,"['48/118', '16/43', '2/13', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Bowling Green - Antwon Lillard,"['31/83', '12/24', '3/11', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Hartford - J.R. Lynch,"['61/155', '17/53', '8/15', '2/6', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Hartford - Travis Weatherington,"['56/112', '20/49', '9/17', '1/6', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Hartford - George Blagojevic,"['17/63', '4/14', '1/4', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Bowling Green - Daeqwon Plowden,"['20/64', '10/19', '2/7', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Hartford - Jason Dunne,"['64/187', '22/60', '3/20', '1/2', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Bowling Green - Michael Laster,"['33/86', '10/28', '1/5', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Bowling Green - Matiss Kulackovskis,"['10/22', '2/8', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Hartford - Romain Boxus,"['10/24', '1/7', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Bowling Green - Jeffrey Uju,"['8/22', '2/4', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Hartford - Eddie Davis III,"['8/22', '1/5', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Butler - Sean McDermott,"['60/130', '14/48', '4/11', '2/4', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Butler - Nate Fowler,"['23/56', '6/21', '2/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
